filepath;artist;title;album;duration;status;yt_video_id;yt_url;yt_score;error_message
\\DESKTOP-U8AN9SJ\Musique\Soundtrack\Gladiator\12 - Slaves To Rome.mp3;Gladiator;Slaves To Rome;Gladiator;60.49371741040914;low_confidence;Xd0vDJ57ckw;https://music.youtube.com/watch?v=Xd0vDJ57ckw;70;
\\DESKTOP-U8AN9SJ\Musique\Soundtrack\The Blues Brothers\04 Shake A Tail Feather.m4a;Ray Charles;Shake A Tail Feather;The Blues Brothers;169.8771882086168;low_confidence;a-NQzWaocAc;https://music.youtube.com/watch?v=a-NQzWaocAc;70;
\\DESKTOP-U8AN9SJ\Musique\Teuf\Anticptik Kaotek, Myrdhin - Dance Before You Die - TrakkerSession.mp3;Anticptik Kaotek, Myrdhin - Dance Before You Die;TrakkerSession;;321.72408163265305;low_confidence;fanzmYbLPp8;https://music.youtube.com/watch?v=fanzmYbLPp8;70;
\\DESKTOP-U8AN9SJ\Musique\Teuf\Micropoint\Anesthésie internationale\05 The slow is under control.mp3;Micropoint;The slow is under control;Anesthésie internationale;298.47510204081635;low_confidence;yN_hH3qySMY;https://music.youtube.com/watch?v=yN_hH3qySMY;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Teuf\Narkotek\Made in tekos CD 2\06 EMETEUR ENDOMMAGE.mp3;Narkotek;EMETEUR ENDOMMAGE;Made in tekos;342.46530612244896;low_confidence;-3Pf9dTQeFU;https://music.youtube.com/watch?v=-3Pf9dTQeFU;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Teuf\Neurokontrol\NeuroKontrol - Excitek - TrakkerSession.mp3;NeuroKontrol - Excitek;TrakkerSession;;360.04571428571427;low_confidence;uvwbdzx97XU;https://music.youtube.com/watch?v=uvwbdzx97XU;70;
\\DESKTOP-U8AN9SJ\Musique\Variété Française\Stupeflip\2011 - The Hypnoflip Invasion\01.Invasion (Introduction).mp3;Stupeflip;Invasion (Introduction);Hypnoflip Invasion;105.85218441196123;low_confidence;Cva9vvWsFZM;https://music.youtube.com/watch?v=Cva9vvWsFZM;70;
\\DESKTOP-U8AN9SJ\Musique\Variété Française\Stupeflip\2011 - The Hypnoflip Invasion\07.Dangereux!! (Interlude 1).mp3;Stupeflip;Dangereux!! (Interlude 1);Hypnoflip Invasion;31.930705240166144;low_confidence;#NOM?;https://music.youtube.com/watch?v=-Ze2jP_TbNc;70;
\\DESKTOP-U8AN9SJ\Musique\Variété Française\Telephone\Telephone - La bombe humaine.mp3;Téléphone;La bombe humaine;Crache Ton Venin;264.1240816326531;low_confidence;EhpgnneNHSw;https://music.youtube.com/watch?v=EhpgnneNHSw;70;
\\DESKTOP-U8AN9SJ\Musique\Dub\Asian Dub Foundation\212-asian_dub_foundation-hope_(congo_natty_remix).mp3;Asian Dub Foundation;Hope (Congo Natty Remix);Time Freeze (1995-2007 The Best Of);263.54938775510203;low_confidence;KmA177QEUMg;https://music.youtube.com/watch?v=KmA177QEUMg;71;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Dub\Mahom\Dub by Sub (2012)\05 - Mahom Ft Daba Makourejah  - Faso Dub Ft Daba Makourejah.mp3;Mahom Ft Daba Makourejah;Faso Dub Ft Daba Makourejah;Dub By Sub;298.3444897959184;low_confidence;APN_-uNLWSM;https://music.youtube.com/watch?v=APN_-uNLWSM;71;
\\DESKTOP-U8AN9SJ\Musique\Dub\Mahom\Dub by Sub (2012)\07 - Mahom Ft Tetra Hydro K  - Le Rêve Du Chat Ft Tetra Hydro K.mp3;Mahom Ft Tetra Hydro K;Le Rêve Du Chat Ft Tetra Hydro K;Dub By Sub;354.66448979591837;low_confidence;lvTPI2iLaxk;https://music.youtube.com/watch?v=lvTPI2iLaxk;71;
\\DESKTOP-U8AN9SJ\Musique\Electro\Deluxe\(2013) The Deluxe Family Show\07 - Baby (Feat. A.S.M).mp3;Deluxe;Baby (Feat. A.S.M);The Deluxe Family Show;221.26797094483976;low_confidence;x25tx4gIL64;https://music.youtube.com/watch?v=x25tx4gIL64;71;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Rap\Chali 2na\Fish Outta Water (2011)\14-chali_2na-controlled_coincidence_(feat._kanetic_source).mp3;Chali 2na;Controlled Coincedence;Fish Outta Water;209.68489795918367;low_confidence;_krFgqal5Jc;https://music.youtube.com/watch?v=_krFgqal5Jc;71;
\\DESKTOP-U8AN9SJ\Musique\Rap\Cypress Hill\Cypress Hill & House of Pain - Jump Around.mp3;Cypress Hill;Jump Around (feat House of Pain);;197.8897691242799;low_confidence;G8hrXmfzhBo;https://music.youtube.com/watch?v=G8hrXmfzhBo;71;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Rap\Mobb Deep\1995 - The Infamous\07-mobb_deep-temperatures_rising-rec.mp3;Mobb Deep;Temperature's Rising;The Infamous;299.99020408163267;low_confidence;sobjbJjt5VY;https://music.youtube.com/watch?v=sobjbJjt5VY;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Anthony B\Best Of ANTHONY B\04-anthony_b-poor_mans_cry_ft._jah_cure-ras.mp3;Anthony B;Poor Man's Cry (featuring Jah Cure);Black Star;239.30775510204083;low_confidence;h87L6m5o7rY;https://music.youtube.com/watch?v=h87L6m5o7rY;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\1996 - Mr. Marley\08. Searching.mp3;Damian Marley;Searching [So Much Bubble] [Prod. By Stephen Marley];Mr. Marley (Remastered);299.8737116288762;low_confidence;1ocSREyFWYA;https://music.youtube.com/watch?v=1ocSREyFWYA;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\Welcome To Jamrock (2005)\01 Confrontation.mp3;Damian Marley;01 Confrontation;Welcome To Jamrock;329.63410673987164;low_confidence;9Fgp93HIa6I;https://music.youtube.com/watch?v=9Fgp93HIa6I;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Dub Incorporation\Afrikya (2008)\14 - Meme dub.mp3;Dub Incorporation;meme dub;Afrikya;296.98002971303464;low_confidence;U985M1H_mus;https://music.youtube.com/watch?v=U985M1H_mus;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Gentleman\2004 - Gentleman - Confidence\18-mystic_wind_feat._tony_rebel-uc.mp3;Gentleman;Mystic Wind Feat. Tony Rebel;Confidence;231.86285714285714;low_confidence;lfuaPe2Fjok;https://music.youtube.com/watch?v=lfuaPe2Fjok;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Iration Steppas\Time Bomb\11 - All In You.mp3;Iration Steppas;All in You;Time Bomb;237.7665306122449;low_confidence;yd5xTcKcBiY;https://music.youtube.com/watch?v=yd5xTcKcBiY;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Perfect\2008 - Perfect - 30 Pieces\09-perfect-jamaica_jamaica-yard.mp3;Perfect;Jamaica Jamaica;30 Pieces;139.2065306122449;low_confidence;wIvqEjvr43w;https://music.youtube.com/watch?v=wIvqEjvr43w;71;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Terry ganzie\Terry Ganzie- Heavy Like Lead\Terry Ganzie - 01 - Heavy Like Lead.mp3;Terry Ganzie;Terry Ganzie - 12 - Need A Woman;Heavy Like Lead;246.58528931917428;low_confidence;e6LrPDEyFno;https://music.youtube.com/watch?v=e6LrPDEyFno;71;
